PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-21,18:33:16.20,1,1,"Stone, Adam",,Undefined,MAR_VIN,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.5069,-2.821546,-0.901279,2422.769976,184.786021,12:15,6.20135,0.61867,7.18936,-13.55579,19.82422,1.56602,2.51336,-0.06733,81.49937,-5.494001,-0.613209,0.415829,,,,,,,,,,,,-1.10595,11.82001,-0.56678,50,6.03274,1.99049,-130.07289,-6.65473,-1.88213,28.98094,-12.05871,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,24de64b0-f1b2-11ec-b730-df8402a6ce77,90.6441,,,8.00754,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:33:16.20,2022-06-21T18:33:16.2037618-04:00,2022-06-21T22:33:16.2037618Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,40e9c3d3-5a41-4668-a509-fbb32dbb257c,53.30965,-130.80822,14.49047,6.1977,-6.34877,-6.02935,-0.61789,2.03824,-0.94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-06-21,18:33:28.90,1,2,"Stone, Adam",,Undefined,MAR_VIN,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.56061,-3.866616,-1.804037,2597.172485,184.158064,12:15,6.22798,0.5204,6.73676,-12.3689,19.5758,1.34236,1.65692,-1.01676,84.06065,-6.290682,-1.559411,0.406791,,,,,,,,,,,,-1.25256,11.82489,-0.40202,50,5.96747,4.17275,-134.18208,-9.3267,-2.26345,31.43175,-10.80585,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,2c701b60-f1b2-11ec-b730-df8402a6ce77,92.65809,,,8.49996,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:33:28.90,2022-06-21T18:33:28.9053042-04:00,2022-06-21T22:33:28.9053042Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,e695aa74-2a10-4294-83f6-bce7330fee69,53.76155,-135.06034,15.71587,6.22386,-9.02477,-5.40293,-0.5195,4.236,-1.13172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-06-21,18:33:42.21,1,3,"Stone, Adam",,Undefined,MAR_VIN,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.76355,-2.817197,-2.74344,2539.445926,191.137829,12:15,6.1281,0.75533,6.86731,-13.34922,19.74214,3.65772,2.4428,-1.4424,82.21154,-5.443753,-2.075969,0.414027,,,,,,,,,,,,-2.77854,11.67142,-0.58186,50,5.94313,6.16654,-131.6334,-6.74752,-4.82151,30.81367,-11.92116,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,346c7ac0-f1b2-11ec-b730-df8402a6ce77,91.03859,,,8.55201,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:33:42.21,2022-06-21T18:33:42.2108530-04:00,2022-06-21T22:33:42.2108530Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,1f22b7f5-d03d-4881-a475-528545db758c,53.63059,-132.48055,15.40684,6.12413,-6.41978,-5.96058,-0.75322,6.2991,-2.41075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-06-21,18:33:57.31,1,4,"Stone, Adam",,Undefined,MAR_VIN,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.92601,-2.220331,-0.995725,2477.25578,194.046436,12:30,6.11954,0.71244,7.11724,-20.80076,12.86859,2.95701,2.3707,0.05552,81.60575,-6.200956,-0.452216,0.417627,76.831,-13.996775,-30.503241,,,,,11.27934,6.95516,-26.02518,0.088356,-1.87154,7.85626,-0.65426,50,5.98123,2.14696,-129.36723,-5.52666,-3.17033,27.09303,-18.86575,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,3d603270-f1b2-11ec-b730-df8402a6ce77,90.2538,2.41471,,7.32026,,,,1.78912,2.41471,-0.03189,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:33:57.31,2022-06-21T18:33:57.3147506-04:00,2022-06-21T22:33:57.3147506Z,GroundBall,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,d8045f2f-6112-428d-90ad-26e76ffe4f7a,53.38405,-130.07401,13.54652,6.11898,-5.0345,-9.43287,-0.71135,2.22967,-1.58517,180,1.78546,94.46444,,,,,,,,2.41577,-27.32935,,,,,,,,-0.02973,-55.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2022-06-21,18:34:38.15,2,1,"Stone, Adam",,Undefined,MAR_VIN,"Gustin, Jacob",,Undefined,NSH_N,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.82609,-1.706506,0.128064,2476.019219,207.733936,1:00,6.28855,0.67091,6.62401,-11.9802,20.56025,10.2139,3.72702,1.63934,83.06566,-4.077761,1.986502,0.410566,,,,,,,,,,,,-5.26504,11.62127,-0.68291,50,6.16707,-0.71954,-133.35747,-4.20065,-9.37338,31.73132,-11.48468,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,55af3060-f1b2-11ec-b730-df8402a6ce77,91.80597,,,8.76043,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:34:38.15,2022-06-21T18:34:38.1539186-04:00,2022-06-21T22:34:38.1539186Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,326344e1-90bc-4ec1-9ca7-6a22a1c16dc1,53.87307,-134.27587,15.86566,6.28384,-3.86825,-5.74234,-0.66601,-0.44825,-4.68669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-06-21,18:34:52.21,2,2,"Stone, Adam",,Undefined,MAR_VIN,"Gustin, Jacob",,Undefined,NSH_N,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,91.90086,-2.894604,-1.72139,2632.992584,205.074893,12:45,6.08802,0.70415,6.85257,-10.92737,21.25627,9.4252,2.53481,-0.08036,83.35816,-5.07421,0.000379,0.408309,85.34952,5.928378,-12.382366,2482.111444,,,,119.56849,119.56849,-16.920453,1.083844,-5.515,12.48383,-0.59713,50,5.89835,3.64704,-133.41805,-6.93651,-9.84894,31.1759,-9.87977,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,5e1a5720-f1b2-11ec-b730-df8402a6ce77,92.31348,5.26248,,8.5427,,,,-0.11786,2.34454,0.08796,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:34:52.21,2022-06-21T18:34:52.2167666-04:00,2022-06-21T22:34:52.2167666Z,GroundBall,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,18feb9a1-be6b-4ac3-a07e-2bff1b262069,53.64697,-134.26753,15.58795,6.08369,-6.6673,-4.93989,-0.70016,3.91541,-4.92447,107.054819,-0.00339,120.16883,-13.57953,,,,,,,2.37895,12.50273,-13.58875,,,,,,,0.16664,-27.70548,-4.26231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2022-06-21,18:35:27.74,3,1,"Stone, Adam",,Undefined,MAR_VIN,"Bullard, Jake",1000132329,Right,NSH_N,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.78604,-4.042121,0.030982,2571.539961,197.476732,12:30,6.22982,0.68831,6.65625,-12.85564,19.60521,5.82764,1.45313,1.2023,83.67271,-6.544217,1.092322,0.410064,,,,,,,,,,,,-3.08516,11.89481,-0.69263,50,5.95213,-0.29438,-133.16359,-9.70058,-5.50487,30.27662,-10.95015,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,73427290-f1b2-11ec-b730-df8402a6ce77,91.91851,,,8.11333,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:35:27.74,2022-06-21T18:35:27.7465458-04:00,2022-06-21T22:35:27.7465458Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,06dea9b1-d367-42bd-8625-b845f644858c,53.84487,-134.03492,15.13831,6.22677,-9.38544,-5.47507,-0.68644,-0.13595,-2.75243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-21,18:35:46.10,3,2,"Stone, Adam",,Undefined,MAR_VIN,"Bullard, Jake",1000132329,Right,NSH_N,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.08686,-0.595269,-0.674432,2492.207578,202.915809,12:45,6.20106,0.65574,6.74081,-16.12784,19.11879,7.55729,4.31312,0.66926,79.50653,-3.752675,0.703788,0.427297,,,,,,,,,,,,-4.15953,10.61221,-0.61362,50,6.155,1.21226,-127.96137,-1.67692,-6.80412,29.7133,-14.81474,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,7e318510-f1b2-11ec-b730-df8402a6ce77,88.21127,,,8.58033,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:35:46.10,2022-06-21T18:35:46.1026162-04:00,2022-06-21T22:35:46.1026162Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,d0b47f9e-96b4-407e-ab93-aa70ba3a2c4b,53.75577,-128.83052,14.85665,6.19771,-1.24356,-7.40737,-0.65199,1.4113,-3.40206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-06-21,18:36:03.91,3,3,"Stone, Adam",,Undefined,MAR_VIN,"Bullard, Jake",1000132329,Right,NSH_N,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.07145,-4.055699,-2.769682,2460.752004,207.438938,1:00,6.06523,0.81867,7.02764,-14.71737,20.10942,9.82386,1.14291,-0.88142,80.28395,-6.929742,-0.970511,0.424745,,,,,,,,,,,,-6.08524,12.32201,-0.65298,50,5.81267,5.8338,-127.69427,-9.35879,-9.98488,27.82664,-11.95569,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,88d4e890-f1b2-11ec-b730-df8402a6ce77,88.74137,,,7.7875,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:36:03.91,2022-06-21T18:36:03.9147378-04:00,2022-06-21T22:36:03.9147378Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,b55779e6-fb67-450e-a939-f3b8cfd9a86f,53.47304,-128.44887,13.91332,6.06206,-9.03457,-5.97784,-0.81485,6.10457,-4.99244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-21,18:36:20.60,3,4,"Stone, Adam",,Undefined,MAR_VIN,"Bullard, Jake",1000132329,Right,NSH_N,Undefined,1,Top,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.77991,-2.389983,-1.832552,2421.810347,190.965587,12:15,6.02913,0.6367,6.83125,-17.38635,17.9034,3.23417,2.39794,-0.76586,79.75391,-5.757078,-1.241965,0.427559,,,,,,,,,,,,-2.26091,10.56717,-0.51999,50,5.86864,3.95692,-127.44366,-5.71716,-3.68557,28.3525,-14.94821,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,92cb4330-f1b2-11ec-b730-df8402a6ce77,88.15737,,,8.026,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:36:20.60,2022-06-21T18:36:20.6027634-04:00,2022-06-21T22:36:20.6027634Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,99321758-4eda-4158-834e-960d632092ba,53.66688,-128.25683,14.17625,6.02647,-5.28842,-7.4741,-0.635,4.06263,-1.84278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2022-06-21,18:36:36.38,3,5,"Stone, Adam",,Undefined,MAR_VIN,"Bullard, Jake",1000132329,Right,NSH_N,Undefined,1,Top,1,3,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.86377,-2.557338,-2.538747,2428.045253,189.859339,12:15,6.07221,0.73993,6.93516,-16.90611,18.14674,2.94811,2.33157,-1.32695,79.98373,-5.83602,-1.999799,0.426121,,,,,,,,,,,,-2.32347,10.77725,-0.58231,50,5.90601,5.54829,-127.54412,-6.07434,-3.80012,27.97506,-14.54747,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,9c331970-f1b2-11ec-b730-df8402a6ce77,88.4547,,,7.88004,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:36:36.38,2022-06-21T18:36:36.3877746-04:00,2022-06-21T22:36:36.3877746Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,f52dff6c-fdad-4c86-ac8d-3ae15458b798,53.56386,-128.32342,13.98753,6.06958,-5.66909,-7.27374,-0.73834,5.65415,-1.90006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2022-06-21,18:36:53.54,3,6,"Stone, Adam",,Undefined,MAR_VIN,"Bullard, Jake",1000132329,Right,NSH_N,Undefined,1,Top,1,3,2,Fastball,,BallCalled,Walk,Undefined,Undefined,0,0,,91.93517,-1.904036,-2.233537,2546.525371,,,6.34211,1.04523,6.8261,,,,4.14226,-0.11783,83.47555,-3.102193,-0.316892,0.407533,,,,,,,,,,,,-6.17382,14.86965,-0.90459,50,6.21611,4.79398,-133.54813,-4.41241,-11.08957,30.21209,-5.46471,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,a6614cf0-f1b2-11ec-b730-df8402a6ce77,92.48936,,,8.45962,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:36:53.54,2022-06-21T18:36:53.5415154-04:00,2022-06-21T22:36:53.5415154Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,58d2adf7-2fb2-42ab-a237-28fb1cb63561,53.67309,-134.37651,15.10605,6.33504,-4.26258,-2.73236,-1.04021,5.09804,-5.54479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
13,2022-06-21,18:38:25.83,4,1,"Stone, Adam",,Undefined,MAR_VIN,"Phinney, Jackson",1000097238,Right,NSH_N,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.06643,-2.523905,-1.259392,2375.453596,201.38689,12:45,6.1819,0.44661,7.01527,-11.62922,22.60974,8.3654,2.91677,-0.00114,80.29447,-4.864377,0.27386,0.421145,84.12463,34.94373,-0.442638,2849.501647,109.9168,67.33705,4.27722,328.83285,326.67779,5.912445,4.979265,-4.88823,13.2767,-0.37209,50,6.02327,2.54158,-129.33865,-5.88225,-8.14142,31.19855,-10.06155,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,dd6cf1e0-f1b2-11ec-b730-df8402a6ce77,89.49995,83.9234,,8.77196,,,,1.77877,2.97281,-0.00794,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:38:25.83,2022-06-21T18:38:25.8351474-04:00,2022-06-21T22:38:25.8351474Z,FlyBall,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,b6cbe0a1-8665-47ea-846a-6544e4ba392b,53.48409,-130.17635,15.59928,6.17759,-5.61209,-5.03077,-0.44327,2.76018,-4.07071,201.206164,1.78207,101.06002,-16.94698,3.55761,-0.29524,-0.09729,0.03664,-0.00475,0.00022,2.97007,70.72841,-16.93357,1.00387,-0.29174,0.07599,-0.00769,-0.00022,6E-05,-0.0086,-0.76345,4.49665,-1.22159,0.16489,0.01213,-0.00913,0.00138,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
14,2022-06-21,18:39:07.69,5,1,"Stone, Adam",,Undefined,MAR_VIN,"Bertsch, Connor",1000078996,Right,NSH_N,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.13133,-6.78851,-1.639602,2514.384136,190.787853,12:15,6.06817,0.45302,7.07078,-8.51079,22.04859,4.00433,-0.83615,-0.70236,86.0931,-8.488366,-0.905307,0.397872,,,,,,,,,,,,-2.66504,14.22257,-0.35588,50,5.65578,3.75615,-136.06766,-16.34154,-4.97677,30.94826,-5.61438,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,f656f750-f1b2-11ec-b730-df8402a6ce77,94.735,,,8.03822,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:39:07.69,2022-06-21T18:39:07.6994418-04:00,2022-06-21T22:39:07.6994418Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,5d81b57e-0379-44f7-b19e-431e19cfa78f,53.43286,-136.84623,15.47413,6.06511,-16.2003,-2.80719,-0.45195,3.88136,-2.48838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
15,2022-06-21,18:39:27.80,5,2,"Stone, Adam",,Undefined,MAR_VIN,"Bertsch, Connor",1000078996,Right,NSH_N,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.72791,-3.564787,-1.880944,2438.197654,184.172132,12:15,6.07419,0.39306,6.65692,-11.31993,22.08875,1.52461,1.86252,-1.20187,82.16077,-5.812071,-1.603607,0.416007,,,,,,,,,,,,-1.38201,13.06032,-0.26709,50,5.82882,4.25856,-131.51718,-8.39713,-2.39344,30.80606,-9.55518,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,02600550-f1b3-11ec-b730-df8402a6ce77,90.60521,,,8.56714,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:39:27.80,2022-06-21T18:39:27.8023538-04:00,2022-06-21T22:39:27.8023538Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,ef744529-a890-49db-ac9f-b110bba75fbe,53.84102,-132.41383,15.40303,6.06918,-8.11901,-4.77759,-0.39206,4.32823,-1.19672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
16,2022-06-21,18:40:06.97,5,3,"Stone, Adam",,Undefined,MAR_VIN,"Bertsch, Connor",1000078996,Right,NSH_N,Undefined,1,Top,2,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.06115,-0.856123,-0.522067,2509.706018,212.38815,1:00,6.09897,0.37022,6.81915,-13.73859,17.65497,10.51662,4.17293,0.7703,84.22248,-3.552853,1.398866,0.403266,,,,,,,,,,,,-5.69926,9.91941,-0.3397,50,6.03813,0.81382,-135.26993,-2.32222,-10.44285,32.56116,-13.99857,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,19b70eb0-f1b3-11ec-b730-df8402a6ce77,93.46789,,,8.83866,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:40:06.97,2022-06-21T18:40:06.9758322-04:00,2022-06-21T22:40:06.9758322Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,89e553e7-c465-4665-ab53-fe6bf1d5a4d1,53.67938,-136.15272,16.28058,6.09594,-1.9427,-6.99928,-0.3656,1.09694,-5.22143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
17,2022-06-21,18:40:24.87,5,4,"Stone, Adam",,Undefined,MAR_VIN,"Bertsch, Connor",1000078996,Right,NSH_N,Undefined,1,Top,2,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.67305,-1.949555,-0.779322,2346.821439,185.037964,12:15,6.08039,0.40204,7.11667,-15.51339,18.72855,1.54563,3.01825,-0.17615,80.31017,-4.997167,-0.49538,0.421163,,,,,,,,,,,,-1.07787,11.02835,-0.3563,50,5.9595,1.69938,-128.89706,-4.7009,-1.79,30.01737,-13.85943,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,245f0610-f1b3-11ec-b730-df8402a6ce77,89.49599,,,8.36288,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:40:24.87,2022-06-21T18:40:24.8722802-04:00,2022-06-21T22:40:24.8722802Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,300841aa-dfd7-442d-8b54-d72a2864e398,53.38311,-129.68252,15.00869,6.07777,-4.33824,-6.92971,-0.40138,1.74622,-0.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
18,2022-06-21,18:40:47.77,5,5,"Stone, Adam",,Undefined,MAR_VIN,"Bertsch, Connor",1000078996,Right,NSH_N,Undefined,1,Top,2,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,96.11034,-2.336002,-0.957855,2624.29983,189.788324,12:15,6.12013,0.55463,6.87713,-8.69591,20.51769,3.375,3.26515,-0.03711,87.54034,-4.087294,-0.340891,0.389013,,,,,,,,,,,,-2.05382,11.81831,-0.49484,50,5.96781,2.19782,-139.67653,-5.82104,-4.04287,32.51308,-8.91011,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,320178c0-f1b3-11ec-b730-df8402a6ce77,96.89255,,,8.57,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:40:47.77,2022-06-21T18:40:47.7781362-04:00,2022-06-21T22:40:47.7781362Z,,v3,,,,"Bramley, Thomas",1000059975,Right,MAR_VIN,19413e3e-e32a-4fd3-acae-ec8d7e8e455f,53.62174,-140.51705,16.25654,6.11532,-5.5907,-4.45506,-0.55301,2.30234,-2.02144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
19,2022-06-21,18:43:44.72,1,1,"Gigliotti, Jake",688989,Right,NSH_N,"Bramley, Thomas",1000059975,Left,MAR_VIN,Undefined,1,Bottom,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.58902,-0.618872,-3.532183,2258.880838,232.673199,1:45,5.3316,1.8478,5.96586,-17.26532,18.16088,22.05773,3.31788,0.40666,80.21356,-3.952512,0.424122,0.428384,,,,,,,,,,,,-12.36816,9.86402,-1.57907,50,5.27286,7.03552,-129.7092,-1.87674,-20.67084,31.93646,-15.68834,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220621-SharkTank-1,9b7a0d30-f1b3-11ec-b730-df8402a6ce77,87.98745,,,9.37546,,,,,,,a9148541-75ee-48cb-85b6-8f226ca226f7,2022-06-21,22:43:44.72,2022-06-21T18:43:44.7277938-04:00,2022-06-21T22:43:44.7277938Z,,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,b3416a97-cbae-4cb7-b886-a05a1b33b9e5,54.53184,-130.82025,15.96823,5.32866,-1.33095,-7.84417,-1.83635,7.75465,-10.33542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
